285,270,494,270,494,313,286,313
492,239,644,238,644,283,492,284
241,185,348,185,348,209,241,209
225,425,405,425,405,449,225,449
409,411,512,409,512,432,410,433
371,172,440,172,440,197,371,197
577,147,650,147,650,170,577,170
437,166,519,166,519,186,437,186
437,218,518,218,518,254,437,254
188,194,249,194,249,219,188,219
344,220,438,220,438,264,344,264
645,141,698,141,698,163,645,163
522,201,568,201,568,242,522,242
535,154,579,154,579,177,535,177
222,443,391,367,400,387,231,464
221,460,393,382,403,404,231,482
254,477,404,409,412,428,262,496
