580,341,657,341,657,365,580,365
574,321,649,321,649,341,574,341
562,232,696,232,696,269,562,269
374,238,526,238,526,287,374,287
587,362,635,362,635,378,587,378
825,282,879,282,879,296,825,296
843,259,883,259,883,269,843,269
783,270,822,270,822,282,783,282
808,258,839,258,839,268,808,268
755,284,785,284,785,294,755,294
875,248,906,248,906,256,875,256
591,260,708,260,708,282,591,282
806,246,836,246,836,255,806,255
781,246,811,246,811,257,781,257
779,260,808,260,808,269,779,269
810,272,848,272,848,282,810,282
752,244,780,244,780,254,752,254
749,268,781,268,781,278,749,278
877,260,901,260,901,269,877,269
803,284,841,284,841,294,803,294
787,297,815,297,815,307,787,307
755,258,778,258,778,271,755,271
776,284,806,284,806,295,776,295
765,297,789,297,789,306,765,306
876,284,904,284,904,295,876,295
