751,94,839,54,856,94,768,134
27,-16,157,45,141,82,10,22
271,241,340,241,340,256,271,256
213,267,279,267,279,284,213,284
261,201,337,201,337,215,261,215
269,224,333,224,333,240,269,240
219,284,277,284,277,300,219,300
84,250,131,250,131,265,84,265
276,281,319,281,319,297,276,297
251,185,300,185,300,202,251,202
83,272,138,272,138,289,83,289
211,311,263,311,263,327,211,327
299,184,346,184,346,199,299,199
828,53,876,31,894,74,846,96
217,244,263,244,263,260,217,260
223,226,268,226,268,242,223,242
262,307,306,307,306,324,262,324
284,264,335,264,335,280,284,280
216,202,254,202,254,219,216,219
205,186,253,186,253,203,205,203
983,155,1028,149,1033,187,987,194
146,301,174,301,174,324,146,324
90,306,123,306,123,335,90,335
121,305,148,302,151,327,124,330
92,290,125,290,125,308,92,308
260,196,331,229,326,240,255,208
