603,177,716,178,716,204,603,203
895,129,1005,77,1024,120,914,171
597,225,645,225,645,242,597,242
638,369,700,369,700,379,638,379
347,269,407,269,406,282,347,281
589,134,721,134,721,174,589,174
642,246,711,246,711,272,642,272
597,277,674,277,674,305,597,305
635,381,697,381,697,392,635,392
588,252,646,252,646,271,588,271
678,275,720,277,718,303,677,301
242,132,298,157,285,187,229,162
595,122,625,119,626,130,595,133
601,412,663,412,663,423,601,423
654,115,685,115,685,127,654,127
626,116,649,116,649,127,626,127
678,117,703,117,703,129,678,129
663,411,719,411,719,421,663,421
610,382,652,382,652,391,610,391
602,370,642,370,642,380,602,380
