1093,15,1244,-10,1251,35,1100,60
689,332,802,332,802,349,689,349
707,313,795,313,795,331,707,331
1080,120,1156,119,1156,144,1080,146
670,165,754,165,754,192,670,192
679,244,733,244,733,267,679,267
745,239,803,239,803,262,745,262
731,164,804,164,804,190,731,190
716,99,767,99,767,113,716,113
682,45,741,45,741,70,682,70
733,46,794,46,794,70,733,70
902,84,961,76,965,107,906,115
1094,94,1163,86,1166,115,1097,122
678,79,730,79,730,94,678,94
646,84,681,84,681,99,646,99
726,80,758,80,758,94,726,94
773,84,803,84,803,96,773,96
749,77,771,83,769,94,747,88
