1018,351,1225,351,1225,409,1018,409
1031,405,1209,405,1209,434,1031,434
732,201,906,201,906,239,732,239
191,242,270,247,268,271,189,266
203,623,350,623,350,639,203,639
743,351,787,351,787,362,743,362
1020,164,1057,164,1057,177,1020,177
105,270,140,271,139,288,105,287
796,320,858,320,858,333,796,333
1017,54,1055,55,1055,70,1017,69
873,320,925,320,925,332,873,332
851,243,915,243,915,255,851,255
784,301,814,301,814,312,784,312
360,428,386,429,386,441,359,440
82,309,134,309,134,327,82,327
813,301,847,301,847,314,813,314
804,241,857,241,857,257,804,257
1042,180,1074,180,1074,190,1042,190
758,182,794,182,794,195,758,195
1016,179,1044,179,1044,190,1016,190
101,289,137,289,137,310,101,310
847,321,891,321,891,332,847,332
387,615,473,615,473,646,387,646
726,292,772,292,772,305,726,305
