1034,454,1141,450,1144,538,1037,542
671,221,754,204,758,225,675,242
708,246,757,234,761,251,711,262
665,252,714,251,715,269,665,270
839,164,927,137,931,151,843,178
936,162,1028,155,1030,172,938,178
827,205,872,190,876,204,831,219
941,184,1059,164,1061,180,944,201
967,512,1025,512,1025,525,967,525
815,107,861,91,864,101,819,118
781,218,822,203,827,218,786,233
925,118,966,104,970,114,928,127
838,135,896,113,900,124,841,145
767,117,803,100,808,111,772,127
782,135,807,124,813,136,788,148
928,137,953,128,956,139,932,148
934,187,1060,187,1060,199,934,199
812,123,860,102,865,112,817,134
775,203,814,186,820,200,781,217
956,129,997,110,1003,122,962,141
767,129,789,119,796,135,774,145
821,155,888,125,893,137,827,167
912,120,934,110,939,121,917,131
848,97,883,81,887,90,852,106
