1022,161,1105,161,1105,188,1022,188
495,170,568,170,568,189,495,189
530,138,565,138,565,159,530,159
502,192,578,192,578,209,502,209
601,249,672,249,672,274,601,274
1031,187,1128,187,1128,209,1031,209
537,211,620,211,620,228,537,228
615,201,706,201,706,236,615,236
604,188,668,188,668,205,604,205
498,212,541,212,541,231,498,231
519,233,570,233,570,253,519,253
665,187,703,187,703,203,665,203
525,254,567,254,567,274,525,274
577,188,606,188,606,207,577,207
968,186,1033,186,1033,215,968,215
500,256,529,256,529,276,500,276
502,235,527,235,527,254,502,254
569,254,595,254,595,272,569,272
666,391,784,391,784,405,666,405
