186,321,253,321,253,345,186,345
549,279,604,279,604,299,549,299
183,254,251,254,251,268,183,268
180,295,250,295,250,323,180,323
45,246,106,245,107,290,46,292
165,268,252,268,252,283,165,283
157,225,212,225,212,238,157,238
204,240,254,240,254,252,204,252
517,545,635,599,629,614,510,560
557,320,610,320,610,336,557,336
768,206,838,206,838,227,768,227
219,226,267,226,267,237,219,237
154,241,203,241,203,254,154,254
417,558,560,558,560,576,417,576
559,298,611,298,611,316,559,316
487,544,629,608,622,624,480,560
549,212,626,212,626,237,549,237
55,284,106,284,106,310,55,310
502,588,634,588,634,606,502,606
996,238,1058,229,1063,259,1000,268
428,548,565,610,559,622,422,560
459,574,635,574,635,592,459,592
